Agency,State,Population,Violent Crime rate,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,Vehicular,Year
Bridgeport Police Dept,CT,144496.0,1001.4,13.8,80.3,422.2,485.1,3880.4,1065.8,2093.5,721.1,2011
Brownsville Police Dept,TX,178706.0,279.8,0.6,20.7,61.0,197.5,4581.3,564.6,3925.4,91.2,2011
Buffalo Police Dept,NY,262484.0,1238.2,13.7,46.1,555.8,622.5,5449.9,1704.1,3318.7,427.1,2011
Burbank Police Dept,CA,104555.0,182.7,1.0,16.3,65.0,100.4,2443.7,377.8,1842.1,223.8,2011
Cambridge Police Dept,MA,105803.0,452.7,4.7,22.7,143.7,281.7,2985.7,509.4,2329.8,146.5,2011
Cape Coral Police Dept,FL,156408.0,150.2,1.9,9.0,37.1,102.3,2551.0,654.1,1825.4,71.6,2011
Carslbad Police Dept,CA,106566.0,197.1,3.8,10.3,32.8,150.1,1848.6,439.2,1290.3,119.2,2011
Carrollton Police Dept,TX,121603.0,169.4,2.5,3.3,76.5,87.2,2731.8,736.8,1769.7,225.3,2011
Cary Police Dept,NC,136949.0,78.9,0.7,9.5,29.9,38.7,1528.3,270.2,1210.7,47.5,2011
Cedar Rapids Police Dept,IA,126988.0,281.9,1.6,32.3,67.7,180.3,3842.1,865.4,2808.1,168.5,2011
Centennial,CO,102125.0,158.6,0.0,26.4,22.5,109.7,1324.8,318.2,937.1,69.5,2011
Chandler Police Dept,AZ,239466.0,284.4,0.8,25.9,71.4,186.2,3096.9,561.2,2397.4,138.2,2011
Charleston City Police Dept,SC,121481.0,327.6,9.1,24.7,133.4,160.5,3090.2,433.8,2434.1,222.3,2011
Charlotte-Mecklenburg Police Department,NC,789478.0,606.4,7.1,27.6,204.2,367.5,4054.3,1081.2,2707.0,266.1,2011
Chattanooga Police Dept,TN,169187.0,863.0,14.2,21.3,227.6,599.9,6285.9,1479.4,4337.2,469.3,2011
Chesapeake Police Dept,VA,224864.0,396.7,5.3,20.5,109.4,261.5,3185.5,550.1,2490.8,144.5,2011
Chicago Police Dept,IL,2703713.0,,15.9,,516.9,458.9,4373.2,977.2,2676.8,719.2,2011
Chula Vista Police Dept,CA,246783.0,271.5,2.4,13.8,94.4,160.9,2028.9,327.0,1343.7,358.2,2011
Cincinnati Police Dept,OH,297160.0,1032.1,20.5,61.6,596.6,353.3,6885.9,2245.9,4210.5,429.4,2011
Clarksville Police Dept,TN,134128.0,658.3,6.0,45.5,95.4,511.5,3144.0,993.8,1987.7,162.5,2011
Clearwater Police Dept,FL,109153.0,733.8,9.2,36.6,166.7,521.3,3782.8,658.7,2979.3,144.8,2011
Cleveland,OH,397106.0,1366.4,18.6,89.1,794.8,463.9,6376.9,2696.0,2650.2,1030.7,2011
Colorado Springs,CO,423680.0,440.2,6.1,75.3,106.0,252.8,3744.8,784.3,2684.8,275.7,2011
Columbia Police Dept,MO,108894.0,534.5,1.8,34.0,152.4,346.2,3914.8,732.8,3051.6,130.4,2011
Columbia Police Dept,SC,130777.0,765.4,7.6,58.1,239.3,460.3,5368.7,1197.5,3622.2,549.0,2011
Columbus Police Dept,GA,192385.0,485.0,7.8,20.8,214.7,241.7,6471.4,1737.1,4189.0,545.3,2011
Columbus Police Dept,OH,787609.0,658.3,11.0,71.7,411.9,163.7,6226.8,1926.0,3841.9,459.0,2011
Concord Police Dept,CA,123502.0,348.2,5.7,15.4,135.2,191.9,3079.3,727.1,1836.4,515.8,2011
Coral Springs Police Dept,FL,122746.0,192.3,0.8,3.3,73.3,114.9,2472.6,515.7,1823.3,133.6,2011
Corona Police Dept,CA,154165.0,129.7,1.3,6.5,68.1,53.8,2175.6,457.3,1490.6,227.7,2011
Corpus Christi Police Dept,TX,311637.0,637.6,3.9,62.3,118.7,452.8,4780.2,856.1,3774.3,149.9,2011
Costa Mesa Police Dept,CA,111253.0,207.6,3.6,27.0,74.6,102.5,3176.5,471.0,2465.6,240.0,2011
Dallas Police Dept,TX,1223021.0,681.1,10.9,35.0,332.5,302.8,5057.9,1531.2,2873.9,652.8,2011
Daly City Police Dept,CA,102312.0,179.8,1.0,13.7,57.7,107.5,1837.5,314.7,1278.4,244.4,2011
Davenport Police Dept,IA,100207.0,650.7,5.0,52.9,112.8,480.0,4897.9,1137.6,3521.7,238.5,2011
Dayton,OH,141631.0,956.7,23.3,69.2,450.5,413.8,5876.5,2203.6,3226.0,446.9,2011
Denton Police Dept,TX,115769.0,268.6,1.7,45.8,47.5,173.6,2863.5,488.0,2273.5,101.9,2011
Denver Police Dept,CO,610612.0,607.3,5.6,64.9,187.2,349.6,3684.0,797.2,2299.3,587.4,2011
Des Moines Police Dept,IA,204498.0,522.7,3.9,50.4,105.6,362.8,5245.5,1219.1,3618.6,407.8,2011
Detroit Police Dept,MI,713239.0,2137.4,48.2,59.9,695.7,1333.6,6143.5,2242.4,2307.2,1593.9,2011
Downey Police Dept,CA,113086.0,344.9,1.8,20.3,180.4,142.4,3427.5,680.0,1816.3,931.1,2011
Durham Police Dept,NC,231225.0,738.2,11.7,27.7,302.3,396.6,4874.0,1675.4,2927.0,271.6,2011
Edison Twp Police Dept,NJ,100300.0,141.6,2.0,9.0,64.8,65.8,1826.5,342.0,1275.2,209.4,2011
El Cajon Police Dept,CA,100647.0,525.6,2.0,27.8,185.8,310.0,2452.1,599.1,1433.7,419.3,2011
El Monte Police Dept,CA,114809.0,366.7,0.9,28.7,170.7,166.4,1991.1,473.8,989.5,527.8,2011
El Paso Police Dept,TX,662780.0,431.2,2.4,32.7,70.0,326.1,2461.1,280.5,1961.0,219.7,2011
Elgin Police Dept,IL,108514.0,264.5,4.6,71.9,75.6,112.4,1905.7,511.5,1313.2,81.1,2011
Elizabeth Police Dept,NJ,125386.0,1048.8,13.6,30.3,576.6,428.3,4066.6,926.7,2106.3,1033.6,2011
Erie Police Dept,PA,102111.0,422.1,5.9,75.4,146.9,193.9,3660.7,1207.5,2354.3,98.9,2011
Escondido Police Dept,CA,145603.0,340.0,2.1,19.2,121.6,197.1,2204.6,382.5,1480.7,341.3,2011
Eugene Police Dept,OR,157848.0,291.4,0.0,49.4,112.1,129.9,4990.9,912.3,3713.7,364.9,2011
Evansville Police Dept,IN,118029.0,416.0,2.5,47.4,130.5,235.5,4622.6,909.9,3516.9,195.7,2011
Everett Police Dept,WA,104635.0,430.1,4.8,46.8,136.7,241.8,7170.6,1111.5,5175.1,884.0,2011
Fairfield Police Dept,CA,106559.0,398.8,4.7,19.7,138.9,235.6,2790.9,536.8,1928.5,325.6,2011
Fargo Police Dept,ND,107329.0,357.8,0.9,39.1,43.8,273.9,2488.6,394.1,1975.2,119.3,2011
Fayetteville Police Dept,NC,203107.0,517.0,12.3,27.6,243.7,233.4,6386.8,2069.8,3982.1,334.8,2011
Flint City Police Dept,MI,102357.0,2336.9,50.8,83.0,593.0,1610.1,6465.6,3544.5,2168.9,752.3,2011
Fontana Police Dept,CA,198374.0,363.0,2.5,19.7,121.5,219.3,2134.9,524.8,1215.4,394.7,2011
Fort Collins Police Dept,CO,146494.0,286.7,2.0,38.2,31.4,215.0,2916.2,382.3,2425.4,108.5,2011
Fort Lauderdale Police Dept,FL,167777.0,932.8,7.2,54.2,459.5,411.9,6074.7,1848.9,3867.6,358.2,2011
Fort Wayne Police Dept,IN,254987.0,307.9,9.4,36.9,121.6,140.0,3543.7,740.4,2654.3,149.0,2011
City Of Fort Worth Police Dept,TX,756803.0,603.7,6.3,46.2,167.4,383.7,4640.2,1329.0,2988.5,322.7,2011
Fremont Police Dept,CA,216606.0,177.3,0.9,16.2,72.0,88.2,1824.5,556.8,1063.2,204.5,2011
Fresno Police Dept,CA,500480.0,582.4,7.0,10.2,203.8,361.5,5079.3,1141.5,2982.7,955.1,2011
Frisco Police Dept,TX,119451.0,102.1,2.5,5.0,19.3,75.3,2059.4,404.3,1572.2,82.9,2011
Fullerton Police Dept,CA,136750.0,223.8,1.5,18.3,76.1,128.0,2596.0,470.2,1863.3,262.5,2011
Gainesville Police Dept,FL,126049.0,723.5,4.8,65.1,146.0,507.7,4249.1,843.3,3175.7,230.1,2011
Garden Grove Police Dept,CA,172892.0,259.7,1.2,11.0,98.9,148.6,1959.0,414.7,1296.8,247.6,2011
Garland Police Dept,TX,231650.0,228.8,2.2,23.7,106.6,96.3,3748.3,968.7,2501.2,278.4,2011
Gilbert Police Dept,AZ,211404.0,84.2,0.9,9.9,26.5,46.8,1823.0,389.3,1369.9,63.9,2011
Glendale Police Dept,AZ,229931.0,484.5,9.6,19.1,187.4,268.3,6409.7,1062.1,4713.6,634.1,2011
Glendale Police Dept,CA,193973.0,133.0,0.0,7.2,55.7,70.1,1779.6,321.2,1291.9,166.5,2011
Grand Prairie Police Dept,TX,179087.0,330.0,5.0,38.5,112.2,174.2,3884.1,1009.6,2417.8,456.8,2011
Grand Rapids Police Dept,MI,187898.0,742.4,5.3,43.1,246.9,447.1,3285.8,1038.9,2074.0,173.0,2011
Green Bay Police Dept,WI,104510.0,356.9,1.9,51.7,45.9,257.4,2315.6,446.8,1772.1,96.6,2011
Greensboro Police Dept,NC,273086.0,,,,,,,,,,2011
Gresham Police Dept,OR,106718.0,389.8,0.9,29.0,161.2,198.7,4039.6,703.7,2757.7,578.2,2011
Hampton Police Dept,VA,139078.0,251.7,6.5,13.7,111.4,120.1,3791.4,589.6,3005.5,196.3,2011
Hartford Police Dept,CT,125006.0,1311.1,21.6,44.0,481.6,764.0,4401.4,1016.8,2697.5,687.2,2011
Hayward Police Dept,CA,145881.0,396.9,4.8,30.2,246.8,115.2,2592.5,677.3,1160.5,754.7,2011
Henderson Police Dept,NV,259902.0,219.7,0.8,22.3,75.8,120.8,1838.0,492.5,1180.8,164.7,2011
Hialeah Police Dept,FL,227731.0,377.6,1.8,13.6,111.1,251.2,3290.3,469.4,2403.3,417.6,2011
High Point Police Dept,NC,105695.0,567.7,2.8,23.7,189.2,352.0,4784.5,1197.8,3358.7,228.0,2011
Hollywood Police Dept,FL,142686.0,462.6,2.8,32.9,188.5,238.3,5458.8,1439.5,3618.4,400.9,2011
Honolulu Police Dept,HI,963465.0,,,,,,,,,,2011
Houston Police Dept,TX,2143628.0,974.6,9.2,36.0,375.7,553.7,5053.9,1281.0,3200.0,572.9,2011
Huntington Beach Police Dept,CA,192226.0,211.2,2.1,17.7,56.2,135.3,2387.3,391.7,1864.5,131.1,2011
Huntsville Police Dept,AL,180972.0,838.8,7.2,28.2,223.8,579.6,5387.0,1479.2,3484.5,423.3,2011
Independence Police Dept,MO,117255.0,425.6,1.7,38.4,93.8,291.7,5706.4,1004.6,4080.8,620.9,2011
Indianapolis Police Dept,IN,833024.0,1100.8,11.5,52.2,404.8,632.3,5638.1,1815.3,3191.7,631.1,2011
Inglewood Police Dept,CA,110962.0,728.2,11.7,29.7,309.1,377.6,2326.9,511.9,1314.9,500.2,2011
Irvine Police Department,CA,214872.0,55.8,0.9,5.1,18.6,31.2,1526.5,238.7,1232.8,54.9,2011
Irving Police Dept,TX,220841.0,232.7,3.6,11.3,68.4,149.4,3076.4,725.9,2078.4,272.1,2011
Jackson Police Dept,MS,174170.0,930.1,29.9,72.3,463.9,364.0,7355.5,2711.1,3807.8,836.5,2011
Jacksonville,FL,834429.0,621.0,8.5,41.9,189.1,381.5,4327.9,1020.8,3083.9,223.1,2011
Jersey City Police Dept,NJ,248423.0,767.2,7.2,19.7,386.8,353.4,2294.9,564.4,1384.3,346.2,2011
Joliet,IL,147877.0,349.6,5.4,20.3,58.8,265.1,2611.0,635.0,1860.3,115.6,2011
Kansas City Police Dept,KS,146712.0,645.5,18.4,64.8,198.3,364.0,5373.1,1245.3,3266.3,861.6,2011
Kansas City Police Dept,MO,461458.0,1199.7,23.4,57.4,360.8,758.0,5535.7,1484.0,3316.7,735.1,2011
Killeen Police Dept,TX,130613.0,624.0,11.5,52.8,131.7,428.0,3988.9,1557.3,2288.4,143.2,2011
Knoxville Police Dept,TN,180488.0,936.9,9.4,52.1,309.7,565.7,7135.7,1409.5,5271.8,454.3,2011
Lafayette Police Dept,LA,121726.0,692.5,4.9,12.3,190.6,484.7,5348.9,980.9,4140.4,227.6,2011
Lakewood,CO,145470.0,422.8,5.5,60.5,90.1,266.7,4257.9,642.7,3279.7,335.5,2011
Lancaster,CA,158474.0,537.0,2.5,26.5,172.3,335.7,2029.4,622.2,1163.0,244.2,2011
Lansing City Police Dept,MI,114211.0,1023.5,7.0,78.8,240.8,697.0,3753.6,1444.7,2098.7,210.1,2011
Laredo,TX,241059.0,464.6,4.6,31.5,89.2,339.3,4322.2,742.6,3378.0,201.6,2011
Las Vegas Metropolitan Police Department,NV,1458474.0,741.4,5.6,44.6,239.5,451.6,2840.4,868.2,1506.8,465.3,2011
Lexington-Fayette County Police Department,KY,297847.0,455.9,4.7,35.3,166.5,249.5,4173.6,914.6,3033.8,225.3,2011
Lincoln Police Dept,NE,260685.0,370.6,1.5,63.7,67.9,237.5,3908.5,537.4,3231.5,139.6,2011
Little Rock Police Dept,AR,194988.0,1489.8,19.0,82.6,440.0,948.3,7951.3,2387.3,5003.4,560.5,2011
Long Beach Police Dept,CA,467691.0,610.9,5.3,23.9,282.2,299.3,2740.3,700.2,1567.1,473.0,2011
Los Angeles Police Dept,CA,3837207.0,522.4,7.7,21.6,262.6,230.5,2249.8,449.9,1393.4,406.5,2011
Louisville Metro,KY,665152.0,614.3,7.2,34.1,247.0,325.9,4803.3,1221.8,3241.4,340.1,2011
Lowell Police Dept,MA,107167.0,741.8,2.8,33.6,156.8,548.7,2893.6,852.9,1811.2,229.5,2011
Lubbock Police Dept,TX,234404.0,767.9,3.4,29.9,133.5,601.1,5152.6,1454.8,3402.2,295.6,2011
Madison City Police Dept,WI,234225.0,348.0,3.4,31.6,116.1,196.8,3388.2,614.8,2626.5,146.9,2011
Manchester Police Dept,NH,109708.0,563.3,1.8,62.9,165.0,333.6,3822.9,822.2,2858.5,142.2,2011
Mcallen Police Dept,TX,132610.0,185.5,3.0,20.4,54.3,107.8,4430.3,385.3,3909.2,135.7,2011
Mckinney Police Dept,TX,133876.0,180.0,0.7,24.6,32.9,121.8,2110.9,467.6,1557.4,85.9,2011
Memphis Police Dept,TN,652725.0,1583.5,17.9,61.0,472.3,1032.3,6489.0,2030.6,3932.3,526.1,2011
Mesa Police Dept,AZ,445256.0,412.8,4.0,29.4,111.6,267.7,3395.1,621.9,2561.9,211.3,2011
Mesquite Police Dept,TX,142766.0,278.1,1.4,5.6,124.0,147.1,4582.3,1193.6,2939.8,449.0,2011
Miami Police Dept,FL,404901.0,1197.6,16.8,23.7,494.4,662.6,5660.9,1269.7,3724.4,666.8,2011
Midland Police Dept,TX,113486.0,294.3,3.5,18.5,51.1,221.2,2896.4,630.0,2145.6,120.7,2011
Milwaukee Police Dept,WI,597426.0,999.1,14.2,32.5,496.0,456.5,5037.8,1116.3,3161.9,759.6,2011
Minneapolis Police Dept,MN,385531.0,965.4,8.3,100.1,412.2,444.8,4977.6,1323.9,3193.3,460.4,2011
Miramar Police Dept,FL,123704.0,415.5,3.2,32.3,155.2,224.7,2593.3,793.0,1591.7,208.6,2011
Mobile Police Dept,AL,251869.0,642.8,11.9,19.1,252.9,358.9,5419.5,1611.2,3530.0,278.3,2011
Modesto Police Dept,CA,203530.0,694.2,6.9,32.9,208.8,445.6,4369.9,1042.1,2658.1,669.7,2011
Montgomery Police Dept,AL,206754.0,342.0,15.0,18.4,171.2,137.4,5196.5,1395.4,3406.5,394.7,2011
Moreno Valley,CA,195638.0,374.2,3.6,16.4,168.7,185.5,2945.2,1070.9,1414.3,460.0,2011
Murfreesboro Police Dept,TN,109736.0,596.0,2.7,27.3,119.4,446.5,4420.6,1260.3,2991.7,168.6,2011
City Of Murrieta Police Dept,CA,104682.0,100.3,1.9,12.4,32.5,53.5,1428.1,332.4,984.9,110.8,2011
Naperville Police Dept,IL,142280.0,78.7,1.4,2.8,16.9,57.6,1483.0,210.9,1242.6,29.5,2011
Nashville-Davidson Metro Police Dept,TN,612789.0,1181.3,8.2,60.9,308.3,804.0,4774.2,1230.6,3261.6,282.0,2011
New Haven Police Dept,CT,130019.0,1344.4,26.2,42.3,589.1,686.8,4983.1,1086.8,3171.8,724.5,2011
New Orleans Police Dept,LA,346974.0,792.0,57.6,47.0,305.2,382.2,4038.6,1111.6,2195.0,732.0,2011
New York City Police Dept,NY,8211875.0,623.6,6.3,13.3,240.8,363.2,1710.4,221.1,1374.4,114.9,2011
Newark Police Dept,NJ,278064.0,1166.3,33.8,20.9,711.0,400.6,3602.0,861.7,1410.1,1330.3,2011
Newport News Police Dept,VA,182878.0,462.1,8.2,28.4,212.2,213.3,3303.3,598.2,2511.0,194.1,2011
Norfolk Police Dept,VA,245704.0,579.6,11.8,33.0,254.4,280.4,4988.9,918.2,3751.3,319.5,2011
Norman Police Dept,OK,112112.0,170.4,1.8,59.8,45.5,63.3,3104.0,603.9,2369.1,131.1,2011
North Las Vegas Police Dept,NV,218790.0,,,,,,,,,,2011
Norwalk,CA,106790.0,347.4,4.7,9.4,129.2,204.1,2129.4,445.7,1082.5,601.2,2011
Oakland Police Dept,CA,395317.0,1682.7,26.3,51.1,851.2,754.1,5287.9,1307.8,2385.2,1594.9,2011
Oceanside,CA,169050.0,366.8,4.1,34.3,107.1,221.2,2276.8,468.5,1599.5,208.8,2011
Odessa Police Dept,TX,102043.0,733.0,5.9,36.3,71.5,619.3,3071.3,604.6,2289.2,177.4,2011
Oklahoma City Police Dept,OK,586208.0,871.4,9.9,47.3,210.2,604.1,5819.3,1681.1,3445.7,692.4,2011
Olathe Police Dept,KS,126671.0,178.4,4.7,37.9,15.8,120.0,1739.9,204.5,1400.5,135.0,2011
Omaha Police Dept,NE,412608.0,559.6,10.4,53.3,168.7,327.2,4547.7,804.9,3100.5,642.3,2011
Ontario Police Dept,CA,165851.0,297.3,3.6,16.3,126.0,151.3,2929.1,566.2,1843.2,519.7,2011
Orange Police Dept,CA,138020.0,113.8,2.2,4.3,59.4,47.8,1921.5,322.4,1449.8,149.3,2011
Orlando Police Dept,FL,241548.0,1072.7,12.0,49.3,288.6,722.8,7098.0,1724.3,4830.9,542.7,2011
City Of Overland Park Police Dept,KS,174473.0,165.6,1.1,34.4,21.8,108.3,2301.2,268.2,1855.3,177.7,2011
Oxnard Police Dept,CA,200225.0,309.2,4.0,13.0,136.8,155.3,1747.5,288.2,1280.1,179.3,2011
Palm Bay Police Dept,FL,104596.0,574.6,1.9,21.0,92.7,458.9,2618.6,772.5,1707.5,138.6,2011
Palmdale,CA,154546.0,507.9,5.8,24.6,159.2,318.4,2117.8,620.5,1233.3,264.0,2011
Pasadena Police Dept,CA,138734.0,313.5,5.0,18.7,128.3,161.5,2646.8,728.7,1717.0,201.1,2011
Pasadena Police Dept,TX,152179.0,371.9,3.3,40.7,88.7,239.2,3460.4,738.6,2449.7,272.0,2011
Paterson Police Dept,NJ,146685.0,1015.8,11.6,26.6,512.0,465.6,3226.0,1220.3,1287.1,718.5,2011
Pembroke Pines Police Dept,FL,156859.0,197.6,2.6,17.9,75.9,101.4,3151.9,675.1,2289.3,187.4,2011
Peoria Police Dept,AZ,156246.0,192.6,1.3,22.4,35.8,133.1,3055.4,696.3,2150.5,208.6,2011
Peoria Police Dept,IL,115353.0,705.7,13.9,28.6,249.7,413.5,4714.2,1491.9,2999.5,222.8,2011
Philadelphia Police Dept,PA,1530873.0,1193.3,21.2,54.4,538.6,579.1,3894.3,787.6,2620.3,486.5,2011
Phoenix Police Dept,AZ,1466097.0,551.7,7.9,38.1,226.7,279.0,4398.0,1273.2,2609.5,515.3,2011
Pittsburgh,PA,308609.0,802.3,14.3,21.7,364.9,401.5,3260.8,870.4,2234.9,155.5,2011
Plano Police Dept,TX,265309.0,161.7,1.9,15.1,53.5,91.2,2549.5,449.7,1953.2,146.6,2011
Pomona Police Dept,CA,150810.0,614.7,7.3,35.8,224.8,346.8,2946.8,590.1,1709.4,647.2,2011
Pompano Beach Police Dept,FL,101206.0,906.1,4.9,40.5,338.9,521.7,5458.2,1327.0,3806.1,325.1,2011
City Of Port St Lucie Police Dept,FL,166846.0,222.4,3.6,18.0,36.6,164.2,2314.1,676.1,1552.3,85.7,2011
Portland Police Dept,OR,589991.0,514.8,3.4,43.7,155.4,312.2,5088.6,729.3,3812.6,546.6,2011
Providence Police Dept,RI,177830.0,,,,,,,,,,2011
Provo Police Dept,UT,114659.0,130.0,3.5,23.5,22.7,80.2,2518.8,336.7,2093.2,89.0,2011
Pueblo Police Dept,CO,108452.0,766.2,11.1,36.9,159.5,558.8,5065.8,1466.1,3166.4,433.4,2011
Raleigh Police Dept,NC,409014.0,421.5,4.2,31.1,166.3,220.0,3237.5,729.8,2284.3,223.5,2011
Rancho Cucamonga,CA,167212.0,175.2,3.6,7.8,61.6,102.3,2341.3,701.5,1423.9,215.9,2011
Reno Police Dept,NV,227120.0,487.8,6.2,11.9,168.6,301.2,2883.9,712.4,1898.1,273.4,2011
Rialto Police Dept,CA,100337.0,478.4,6.0,17.9,203.3,251.2,2968.0,930.9,1518.9,518.3,2011
Richardson Police Dept,TX,101311.0,170.8,0.0,8.9,75.0,86.9,2771.7,671.2,1909.0,191.5,2011
Richmond Police Dept,CA,104920.0,986.5,24.8,37.2,288.8,635.7,4332.8,1573.6,1461.1,1298.1,2011
Richmond (City) Bureau Of Police,VA,206654.0,691.0,17.4,21.3,327.1,325.2,4184.3,912.6,2822.6,449.1,2011
Riverside Police Dept,CA,307443.0,426.1,4.2,18.5,149.0,254.4,3132.6,676.5,2042.0,414.1,2011
Rochester Police Dept,MN,107593.0,,0.9,,60.4,94.8,2159.1,395.0,1681.3,82.7,2011
Rochester Police Dept,NY,211511.0,959.3,14.7,44.9,357.0,542.8,5169.5,1599.9,3238.1,331.4,2011
Rockford Police Dept,IL,153331.0,1373.5,13.7,73.0,369.1,917.6,4644.9,1232.6,3095.3,317.0,2011
Roseville Police Dept,CA,120184.0,206.4,0.8,20.0,35.8,149.8,2946.3,444.3,2318.1,183.9,2011
Round Rock Police Dept,TX,101989.0,112.8,2.0,24.5,38.2,48.0,2398.3,386.3,1962.0,50.0,2011
Sacramento Police Dept,CA,471972.0,710.6,7.6,28.4,246.2,428.4,3933.1,877.4,2349.1,706.6,2011
Salem Police Dept,OR,156283.0,332.1,1.9,20.5,76.1,233.6,3813.6,570.1,2969.6,273.9,2011
Salinas Police Dept,CA,152210.0,732.5,9.9,22.3,245.7,454.6,2951.2,749.0,1438.1,764.1,2011
Salt Lake City Police Dept,UT,190038.0,638.3,3.2,62.6,178.9,393.6,6734.4,872.5,5080.0,781.9,2011
San Antonio Police Dept,TX,1355339.0,519.3,6.6,36.3,131.7,344.7,5966.6,1131.4,4400.4,434.8,2011
San Bernardino Police Dept,CA,212392.0,876.2,14.1,36.3,339.0,486.8,3983.7,1110.7,2093.3,779.7,2011
San Diego Police Dept,CA,1316919.0,387.6,2.9,22.2,110.6,251.9,2255.9,443.5,1337.2,475.3,2011
San Francisco Police Dept,CA,814701.0,659.6,6.1,16.1,379.0,258.4,4036.6,541.1,2983.2,512.3,2011
San Jose Police Dept,CA,957062.0,335.0,4.1,23.6,115.0,192.3,2295.8,441.2,1319.5,535.1,2011
Santa Ana Police Dept,CA,328343.0,399.9,4.0,18.9,180.0,197.1,2002.5,325.0,1285.9,391.7,2011
Santa Clara Police Dept,CA,117837.0,150.2,1.7,11.9,56.9,79.8,2489.0,347.1,1868.7,273.3,2011
Santa Clarita,CA,178393.0,146.9,2.8,10.1,42.6,91.4,1439.5,317.8,989.9,131.7,2011
Santa Maria Police Dept,CA,100723.0,710.9,6.9,17.9,151.9,534.1,2411.6,650.3,1499.2,262.1,2011
Santa Rosa Police Dept,CA,169788.0,401.7,2.9,34.2,78.9,285.7,2182.7,375.2,1645.6,162.0,2011
Savannah Police Dept,GA,226422.0,392.6,11.5,15.9,215.5,149.7,4230.6,989.7,2918.4,322.4,2011
Scottsdale Police Dept,AZ,220462.0,181.4,1.8,15.4,56.7,107.5,3050.0,645.9,2292.5,111.6,2011
Seattle Police Dept,WA,618209.0,592.7,3.2,16.2,229.4,343.9,5142.6,1101.1,3491.5,550.0,2011
Shreveport Police Dept,LA,201134.0,767.6,8.5,60.2,176.5,522.5,4765.0,1379.7,3167.5,217.8,2011
Simi Valley Police Dept,CA,125698.0,92.3,0.0,7.2,32.6,52.5,1350.1,249.8,1016.7,83.5,2011
Sioux Falls Police Dept,SD,155760.0,282.5,3.2,69.3,48.2,161.8,3022.0,565.0,2281.7,175.3,2011
South Bend Police Dept,IN,101685.0,731.7,8.9,59.0,399.3,264.5,5995.0,2296.3,3380.0,318.6,2011
Spokane Police Dept,WA,212194.0,614.5,1.9,39.6,228.1,345.0,7087.4,1427.9,4821.5,837.9,2011
Springfield Police Dept,IL,116600.0,1096.1,6.9,88.3,221.3,779.6,6154.4,1614.9,4353.3,186.1,2011
Springfield Police Dept,MA,153993.0,1026.7,13.0,20.1,345.5,648.1,4782.7,1622.8,2644.3,515.6,2011
Springfield Police Dept,MO,160078.0,815.9,3.1,68.7,178.7,565.3,9006.9,1282.5,7115.9,608.5,2011
St. Louis Police Dept,MO,320454.0,1856.7,35.3,58.7,663.7,1099.1,8010.2,2189.1,4769.8,1051.3,2011
St. Paul Police Dept,MN,287665.0,655.3,2.8,58.7,210.0,383.8,4147.9,1111.4,2395.1,641.4,2011
St. Petersburg Police Dept,FL,248105.0,1020.5,8.5,36.3,290.2,685.6,5160.3,1375.2,3443.7,341.4,2011
Stamford Police Dept,CT,122870.0,316.6,4.9,26.0,154.6,131.0,1617.2,229.5,1219.2,168.5,2011
Sterling Heights Police Dept,MI,129601.0,156.6,0.8,8.5,23.9,123.5,2060.9,348.0,1579.5,133.5,2011
Stockton Police Dept,CA,295136.0,1407.8,19.7,30.5,448.3,909.4,5239.3,1400.4,3270.0,568.9,2011
Sunnyvale Dept Of Public Safety,CA,141728.0,105.8,2.1,14.8,48.0,40.9,1390.0,277.3,953.2,159.5,2011
Surprise Police Dept,AZ,119181.0,109.9,0.0,10.1,42.8,57.1,2179.9,517.7,1571.6,90.6,2011
Syracuse Police Dept,NY,145822.0,892.9,7.5,43.2,266.1,576.0,3617.4,1169.2,2236.3,211.9,2011
Tacoma Police Dept,WA,201510.0,747.9,5.5,62.0,221.3,459.0,5985.8,1344.4,3586.9,1054.5,2011
Tallahassee Police Dept,FL,183848.0,903.5,5.4,58.2,277.9,561.9,5092.8,1768.9,3126.5,197.4,2011
Tampa Police Dept,FL,340284.0,654.7,8.2,17.0,172.5,457.0,3054.2,798.7,2069.4,186.0,2011
Temecula,CA,101274.0,93.8,0.0,6.9,53.3,33.6,2375.7,540.1,1678.6,157.0,2011
Tempe Police Dept,AZ,164008.0,479.9,3.0,27.4,144.5,304.9,5446.7,962.8,4148.6,335.3,2011
Thornton Police Dept,CO,120841.0,575.1,0.0,41.4,41.4,492.4,2845.1,424.5,2188.0,232.5,2011
Thousand Oaks,CA,128172.0,106.9,0.8,7.8,26.5,71.8,1395.0,248.9,1099.3,46.8,2011
Toledo Police Dept,OH,287418.0,997.8,10.4,43.1,400.8,543.5,,2910.7,,509.7,2011
Topeka Police Dept,KS,128283.0,544.1,11.7,41.3,183.2,307.9,5869.1,1346.2,4063.7,459.1,2011
Torrance Police Dept,CA,147148.0,125.7,1.4,11.6,61.8,51.0,1880.4,345.9,1330.0,204.6,2011
Tucson Police Dept,AZ,527479.0,652.2,9.7,38.7,220.5,383.3,,943.9,,520.6,2011
Tulsa Police Dept,OK,396101.0,999.7,12.4,67.2,275.2,645.0,5534.7,1856.3,3063.9,614.5,2011
Vallejo Police Dept,CA,117305.0,769.8,15.3,45.2,370.8,338.4,4470.4,2103.9,1462.9,903.6,2011
